# SNAP directed edge list: source target
# Nodes: 15 Edges: 94
# FromNodeId	ToNodeId
0 1
0 2
0 4
0 6
0 8
0 10
0 11
0 12
0 13
0 14
1 2
1 4
1 5
1 8
1 9
1 11
1 14
2 3
2 5
2 9
2 10
3 5
3 6
3 8
3 12
3 13
3 14
4 0
4 3
4 5
4 6
4 8
4 9
4 10
5 3
5 6
5 10
5 11
5 12
5 13
5 14
6 0
6 3
6 4
6 5
6 7
6 9
6 11
7 0
7 3
7 4
7 12
7 13
7 14
8 1
8 4
8 9
8 10
9 0
9 1
9 2
9 4
9 10
9 12
10 1
10 4
10 6
10 7
10 9
10 11
10 12
10 14
11 0
11 1
11 4
11 6
11 7
11 8
12 3
12 7
12 8
12 10
13 3
13 4
13 6
13 9
13 11
14 0
14 2
14 6
14 8
14 10
14 11
14 13
