# SNAP directed edge list: source target
# Nodes: 30 Edges: 362
# FromNodeId	ToNodeId
0 1
0 2
0 4
0 6
0 8
0 10
0 11
0 12
0 13
0 14
0 16
0 18
0 19
0 22
0 23
0 25
0 28
1 2
1 4
1 8
1 9
1 18
1 19
1 21
1 25
1 26
1 27
1 28
2 1
2 3
2 4
2 6
2 7
2 8
2 16
2 18
2 22
2 23
2 24
2 25
2 26
2 27
3 0
3 1
3 2
3 4
3 6
3 8
3 12
3 15
3 16
3 23
3 24
3 25
3 27
4 0
4 5
4 6
4 11
4 12
4 13
4 15
4 20
4 22
4 26
4 29
5 1
5 2
5 4
5 6
5 7
5 9
5 10
5 11
5 14
5 16
5 17
5 18
5 27
6 1
6 2
6 4
6 12
6 13
6 15
6 18
6 20
6 23
6 25
6 29
7 1
7 3
7 4
7 6
7 9
7 10
7 11
7 14
7 16
7 19
7 23
7 25
7 26
8 0
8 2
8 5
8 12
8 15
8 16
8 18
8 19
8 20
8 25
8 26
9 1
9 4
9 5
9 8
9 10
9 12
9 16
9 20
9 22
9 23
9 24
9 25
9 27
9 29
10 2
10 7
10 8
10 9
10 13
10 14
10 15
10 16
10 17
10 18
10 22
10 25
10 26
10 29
11 3
11 5
11 6
11 8
11 13
11 14
11 17
11 18
11 21
11 23
11 24
11 25
11 29
12 0
12 2
12 4
12 8
12 11
12 13
12 14
12 18
12 19
12 21
12 22
12 29
13 2
13 7
13 9
13 10
13 14
13 18
13 21
13 23
13 24
13 25
13 27
14 0
14 1
14 7
14 8
14 11
14 13
14 15
14 16
14 17
14 22
14 25
15 1
15 2
15 3
15 4
15 9
15 12
15 13
15 14
15 18
15 20
15 21
15 22
15 25
15 26
15 28
16 2
16 3
16 6
16 7
16 8
16 9
16 17
16 21
16 23
16 28
17 1
17 2
17 4
17 5
17 7
17 9
17 15
17 16
17 21
17 22
17 23
17 25
17 28
18 0
18 2
18 10
18 20
18 24
18 29
19 0
19 1
19 4
19 6
19 7
19 9
19 17
19 21
19 28
20 0
20 5
20 7
20 9
20 12
20 14
20 16
20 19
20 21
20 22
20 25
20 29
21 5
21 6
21 8
21 18
21 19
21 26
21 28
22 0
22 1
22 2
22 3
22 4
22 7
22 11
22 12
22 13
22 14
22 17
22 18
22 20
22 21
22 24
22 25
23 3
23 4
23 7
23 10
23 11
23 13
23 16
23 17
23 18
23 20
23 22
23 28
23 29
24 1
24 2
24 4
24 6
24 12
24 13
24 15
24 18
24 21
24 22
25 0
25 5
25 6
25 7
25 10
25 11
25 13
25 17
25 18
25 19
25 21
25 23
25 29
26 0
26 1
26 3
26 4
26 5
26 6
26 7
26 10
26 12
26 16
26 18
26 24
26 29
27 0
27 7
27 9
27 11
27 12
27 13
27 14
27 18
27 20
27 24
27 25
27 28
28 2
28 4
28 7
28 11
28 14
28 15
28 19
28 22
28 24
28 25
28 27
29 0
29 1
29 3
29 5
29 6
29 7
29 9
29 11
29 16
29 17
29 21
29 24
29 27
